from,to,distance
7,19,53.277796270083606
7,20,43.248057151966435
7,21,34.360689992015004
7,22,27.148537632458353
7,23,23.40067547535658
7,24,88.91043953106708
7,25,77.74659694858596
7,26,68.41014572939555
7,27,59.72771575025527
7,28,51.12486995948289
7,29,44.71025226922332
7,30,38.92340760722368
7,31,34.405481565031934
7,32,93.28137722100111
7,33,85.16787666666009
7,34,75.39294824677502
7,35,68.12385501796584
7,36,59.9950118576048
7,37,55.549536902299586
7,38,50.65832640166147
7,39,48.159778900079885
7,40,99.56369576228659
7,41,92.41534836364146
7,42,85.50106108617342
7,43,77.61254105585509
7,44,72.16131029280584
7,45,67.94078655831083
7,46,62.01896014055102
7,47,58.60141743748727
7,48,107.06675813497866
7,49,102.21964981892984
7,50,94.20154271078702
7,51,88.34371613479013
7,52,84.2533622939205
7,53,82.86111462834025
7,54,75.72697486510108
7,55,70.07704563488058
7,56,115.76738647615585
7,57,109.11505231797501
7,58,101.77640627998761
7,59,98.89545909351176
7,60,95.60781340562245
7,61,90.99395791719257
7,62,86.95757888874884
7,63,83.00854015136557
7,64,140.87613489124809
7,65,137.4024024112473
7,66,131.86125152446206
7,67,125.79550146997762
7,68,119.91886006461829
7,69,112.16779538389866
7,70,107.51062337308475
7,71,100.20585740856595
7,72,102.6912433392134
7,73,117.59299346049384
7,74,123.22697996935061
7,75,126.85055694430994
7,76,130.24565457014143
7,77,125.95606439820112
7,78,129.19688802988725
7,79,128.90436629034588
7,80,126.56137407171408
7,81,123.25804982815062
7,82,116.68061060707083
7,83,105.6120103369738
7,84,114.78929803641701
7,85,110.10832244486855
7,86,106.09848369481686
7,87,108.75203806806738
7,88,118.9081145649165
7,89,122.75339868364382
7,90,72.4637052121897
7,91,75.59749540974623
7,92,83.17150035433447
7,93,88.06750164549439
7,94,92.61989566123356
7,95,97.86118289255657
7,96,98.53557793000178
7,97,98.71419407110123
7,98,98.4313522999201
7,99,93.41757895995637
7,100,87.38911407141553
7,101,81.6785396894349
7,102,78.39545505961
7,103,76.24351825071267
7,104,74.26863540393832
7,105,71.88122961878896
7,106,70.14400860422992
7,107,67.8764551506582
7,108,66.56537236800672
7,109,63.86477324013998
7,110,62.80709846420701
7,111,105.6010838103274
7,112,103.15712287878935
7,114,102.03445748462248
7,115,101.23146176486395
7,116,140.39810275759302
7,118,135.1556873446235
7,120,131.71715823523607
7,123,125.68778481163329
7,124,128.66754843391348
7,125,132.3478921517567
8,9,12.500492677081018
8,10,25.667902239876504
8,11,35.64058419309176
8,12,48.173631818161624
8,13,59.04317612377856
8,14,72.34335017252108
8,15,83.48962213630354
8,16,11.343635341581301
8,17,16.839462907175516
8,18,26.459942203259917
8,19,37.438402361811576
8,20,47.86002007738157
8,21,60.52782256145714
8,22,73.27258441517954
8,23,85.21741622467495
8,24,24.32535202192673
8,25,27.41044027254887
8,26,34.6459363406715
8,27,42.705782091624776
8,28,53.98070090077221
8,29,62.94241874685853
8,30,77.58308847073891
8,31,86.30624945619748
8,32,35.5758147920215
8,33,37.76002796870174
8,34,41.536899938701346
8,35,48.977863652799314
8,36,59.9485475647484
